"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"1","Haut-Uele","Aba",0,0.015,0.005,0.002,0.001
"2","Ituri","Adi",0,0.021,0.004,0.002,0.001
"3","Ituri","Adja",0,0.02,0.004,0.001,0
"4","Bas-Uele","Aketi",0,0.004,0.002,0.001,0
"5","Nord-Kivu","Alimbongo",6,0.614,0.407,0.296,0.152
"6","Maniema","Alunguli",0,0.008,0.003,0.001,0
"7","Bas-Uele","Ango",0,0.006,0.001,0,0
"8","Ituri","Angumu",0,0.033,0.009,0.004,0.001
"9","Ituri","Ariwara",1,0.032,0.006,0.002,0.001
"10","Ituri","Aru",0,0.027,0.007,0.002,0.001
"11","Ituri","Aungba",0,0.031,0.009,0.003,0.001
"12","Tshopo","Bafwagbogbo",0,0.01,0.002,0.001,0
"13","Tshopo","Bafwasende",0,0.016,0.004,0.001,0
"14","Sud-Kivu","Bagira",0,0.023,0.003,0.001,0
"15","Nord-Kivu","Bambo",0,0.084,0.018,0.005,0.001
"16","Ituri","Bambu",0,0.06,0.01,0.004,0
"17","Tshopo","Banalia",0,0.013,0.003,0.001,0
"18","Tshopo","Basali",0,0.003,0,0,0
"19","Tshopo","Basoko",0,0.006,0.002,0,0
"20","Tshopo","Bengamisa",0,0.005,0,0,0
"21",NA,"Beni",740,0.644,0.404,0.277,0.133
"22","Nord-Kivu","Biena",22,0.234,0.075,0.034,0.006
"23","Bas-Uele","Bili",0,0.003,0.002,0.001,0
"24","Nord-Kivu","Binza",0,0.092,0.025,0.009,0.002
"25","Nord-Kivu","Birambizo",0,0.166,0.044,0.02,0.004
"26","Ituri","Biringi",0,0.025,0.006,0.002,0
"27","Ituri","Boga",0,0.075,0.019,0.009,0.003
"28","Haut-Uele","Boma-Mangbetu",0,0.046,0.009,0.006,0.001
"29","Bas-Uele","Bondo",0,0.002,0,0,0
"30","Ituri","Bunia",7,0.142,0.038,0.016,0.006
"31","Sud-Kivu","Bunyakiri",0,0.033,0.008,0.004,0.001
"32","Bas-Uele","Buta",0,0.012,0.002,0.001,0
"33",NA,"Butembo",337,0.834,0.648,0.502,0.282
"34","Ituri","Damas",0,0.034,0.008,0.003,0
"35","Haut-Uele","Doruma",0,0.006,0.002,0.001,0
"36","Ituri","Drodro",0,0.052,0.012,0.004,0.001
"37","Haut-Uele","Dungu",0,0.018,0.005,0.002,0
"38","Haut-Uele","Faradje",0,0.014,0.004,0.002,0
"39","Ituri","Fataki",0,0.046,0.009,0.003,0.001
"40","Maniema","Ferekeni",0,0.005,0.001,0,0
"41","Sud-Kivu","Fizi",0,0.015,0.002,0.001,0
"42","Bas-Uele","Ganga Dingila",0,0.008,0.002,0.001,0
"43","Ituri","Gethy",0,0.116,0.036,0.015,0.004
"44","Nord-Kivu","Goma",1,0.1,0.025,0.012,0.002
"45","Haut-Uele","Gombari",0,0.026,0.004,0.002,0
"46","Sud-Kivu","Hauts-Plateaux",0,0.012,0.002,0.001,0
"47","Sud-Kivu","Ibanda",0,0.072,0.012,0.004,0.001
"48","Sud-Kivu","Idjwi",0,0.044,0.014,0.004,0
"49","Tshopo","Isangi",0,0.01,0.003,0.001,0
"50","Haut-Uele","Isiro",0,0.051,0.01,0.004,0
"51","Nord-Kivu","Itebero",0,0.029,0.008,0.002,0
"52","Sud-Kivu","Itombwe",0,0.005,0.002,0,0
"53","Ituri","Jiba",0,0.039,0.008,0.003,0
"54","Maniema","Kabambare",0,0.006,0.002,0.001,0
"55","Sud-Kivu","Kabare",0,0.036,0.007,0.002,0
"56","Tshopo","Kabondo",0,0.017,0.003,0.001,0
"57","Sud-Kivu","Kadutu",0,0.061,0.012,0.004,0.001
"58","Maniema","Kailo",0,0.007,0.002,0.001,0
"59","Sud-Kivu","Kalehe",0,0.032,0.006,0.002,0
"60","Maniema","Kalima",0,0.009,0.004,0.002,0
