"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"1","Haut-Uele","Aba",0,0.003,0.002,0.001,0
"2","Ituri","Adi",0,0.002,0,0,0
"3","Ituri","Adja",0,0.002,0,0,0
"4","Bas-Uele","Aketi",0,0,0,0,0
"5","Nord-Kivu","Alimbongo",5,0.137,0.042,0.02,0.003
"6","Maniema","Alunguli",0,0.001,0,0,0
"7","Bas-Uele","Ango",0,0,0,0,0
"8","Ituri","Angumu",0,0.006,0.002,0.001,0
"9","Ituri","Ariwara",1,0.003,0.002,0.001,0
"10","Ituri","Aru",0,0.002,0,0,0
"11","Ituri","Aungba",0,0.006,0.002,0.001,0
"12","Tshopo","Bafwagbogbo",0,0,0,0,0
"13","Tshopo","Bafwasende",0,0,0,0,0
"14","Sud-Kivu","Bagira",0,0.002,0,0,0
"15","Nord-Kivu","Bambo",0,0.022,0.004,0.001,0
"16","Ituri","Bambu",0,0.02,0.006,0.004,0.001
"17","Tshopo","Banalia",0,0,0,0,0
"18","Tshopo","Basali",0,0,0,0,0
"19","Tshopo","Basoko",0,0,0,0,0
"20","Tshopo","Bengamisa",0,0,0,0,0
"21",NA,"Beni",729,0.992,0.966,0.936,0.832
"22","Nord-Kivu","Biena",22,0.28,0.097,0.042,0.01
"23","Bas-Uele","Bili",0,0,0,0,0
"24","Nord-Kivu","Binza",0,0.024,0.006,0.002,0
"25","Nord-Kivu","Birambizo",0,0.037,0.008,0.003,0.001
"26","Ituri","Biringi",0,0.004,0,0,0
"27","Ituri","Boga",0,0.105,0.02,0.008,0.001
"28","Haut-Uele","Boma-Mangbetu",0,0.006,0.001,0,0
"29","Bas-Uele","Bondo",0,0,0,0,0
"30","Ituri","Bunia",7,0.063,0.014,0.006,0.002
"31","Sud-Kivu","Bunyakiri",0,0.004,0,0,0
"32","Bas-Uele","Buta",0,0,0,0,0
"33",NA,"Butembo",333,0.838,0.622,0.467,0.231
"34","Ituri","Damas",0,0.009,0.002,0,0
"35","Haut-Uele","Doruma",0,0.001,0,0,0
"36","Ituri","Drodro",0,0.018,0.004,0.003,0.001
"37","Haut-Uele","Dungu",0,0.003,0.001,0.001,0
"38","Haut-Uele","Faradje",0,0.002,0.001,0.001,0
"39","Ituri","Fataki",0,0.016,0.004,0.001,0
"40","Maniema","Ferekeni",0,0,0,0,0
"41","Sud-Kivu","Fizi",0,0.001,0,0,0
"42","Bas-Uele","Ganga Dingila",0,0.001,0,0,0
"43","Ituri","Gethy",0,0.089,0.022,0.01,0.003
