"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"1","Haut-Uele","Aba",0,0,0,0,0
"2","Ituri","Adi",0,0,0,0,0
"3","Ituri","Adja",0,0,0,0,0
"4","Bas-Uele","Aketi",0,0,0,0,0
"5","Nord-Kivu","Alimbongo",5,0.082,0.011,0.004,0
"6","Maniema","Alunguli",0,0,0,0,0
"7","Bas-Uele","Ango",0,0,0,0,0
"8","Ituri","Angumu",0,0,0,0,0
"9","Ituri","Ariwara",1,0,0,0,0
"10","Ituri","Aru",0,0,0,0,0
"11","Ituri","Aungba",0,0,0,0,0
"12","Tshopo","Bafwagbogbo",0,0.002,0,0,0
"13","Tshopo","Bafwasende",0,0.005,0,0,0
"14","Sud-Kivu","Bagira",0,0,0,0,0
"15","Nord-Kivu","Bambo",0,0,0,0,0
"16","Ituri","Bambu",0,0,0,0,0
"17","Tshopo","Banalia",0,0,0,0,0
"18","Tshopo","Basali",0,0,0,0,0
"19","Tshopo","Basoko",0,0,0,0,0
"20","Tshopo","Bengamisa",0,0,0,0,0
"21",NA,"Beni",714,0.972,0.866,0.742,0.458
"22","Nord-Kivu","Biena",22,0.979,0.887,0.76,0.459
"23","Bas-Uele","Bili",0,0,0,0,0
"24","Nord-Kivu","Binza",0,0,0,0,0
"25","Nord-Kivu","Birambizo",0,0,0,0,0
"26","Ituri","Biringi",0,0,0,0,0
"27","Ituri","Boga",0,0.022,0.002,0,0
"28","Haut-Uele","Boma-Mangbetu",0,0.005,0,0,0
"29","Bas-Uele","Bondo",0,0,0,0,0
"30","Ituri","Bunia",7,0,0,0,0
"31","Sud-Kivu","Bunyakiri",0,0,0,0,0
"32","Bas-Uele","Buta",0,0,0,0,0
"33",NA,"Butembo",328,0.993,0.96,0.904,0.728
"34","Ituri","Damas",0,0,0,0,0
"35","Haut-Uele","Doruma",0,0,0,0,0
"36","Ituri","Drodro",0,0,0,0,0
"37","Haut-Uele","Dungu",0,0.003,0.001,0,0
"38","Haut-Uele","Faradje",0,0,0,0,0
"39","Ituri","Fataki",0,0,0,0,0
"40","Maniema","Ferekeni",0,0,0,0,0
"41","Sud-Kivu","Fizi",0,0,0,0,0
"42","Bas-Uele","Ganga Dingila",0,0,0,0,0
"43","Ituri","Gethy",0,0.001,0,0,0
"44","Nord-Kivu","Goma",1,0,0,0,0
"45","Haut-Uele","Gombari",0,0.106,0.017,0.004,0
"46","Sud-Kivu","Hauts-Plateaux",0,0,0,0,0
"47","Sud-Kivu","Ibanda",0,0,0,0,0
"48","Sud-Kivu","Idjwi",0,0,0,0,0
"49","Tshopo","Isangi",0,0,0,0,0
"50","Haut-Uele","Isiro",0,0.002,0,0,0
"51","Nord-Kivu","Itebero",0,0,0,0,0
"52","Sud-Kivu","Itombwe",0,0,0,0,0
"53","Ituri","Jiba",0,0,0,0,0
"54","Maniema","Kabambare",0,0,0,0,0
"55","Sud-Kivu","Kabare",0,0,0,0,0
"56","Tshopo","Kabondo",0,0,0,0,0
"57","Sud-Kivu","Kadutu",0,0,0,0,0
"58","Maniema","Kailo",0,0,0,0,0
"59","Sud-Kivu","Kalehe",0,0,0,0,0
"60","Maniema","Kalima",0,0,0,0,0
"61","Sud-Kivu","Kalole",0,0,0,0,0
"62","Sud-Kivu","Kalonge",0,0,0,0,0
"63","Nord-Kivu","Kalunguta",224,0.991,0.964,0.918,0.744
"64","Nord-Kivu","Kamango",0,0.411,0.121,0.041,0.005
"65","Ituri","Kambala",0,0,0,0,0
"66","Sud-Kivu","Kamituga",0,0,0,0,0
"67","Maniema","Kampene",0,0,0,0,0
"68","Sud-Kivu","Kaniola",0,0,0,0,0
"69","Nord-Kivu","Karisimbi",0,0,0,0,0
"70","Maniema","Kasongo",0,0,0,0,0
"71","Sud-Kivu","Katana",0,0,0,0,0
"72","Nord-Kivu","Katoyi",0,0,0,0,0
"73",NA,"Katwa",682,0.981,0.902,0.782,0.492
"74","Nord-Kivu","Kayna",31,0.004,0,0,0
"75","Sud-Kivu","Kaziba",0,0,0,0,0
"76","Nord-Kivu","Kibirizi",0,0,0,0,0
"77","Maniema","Kibombo",0,0,0,0,0
"78","Nord-Kivu","Kibua",0,0.001,0,0,0
"79","Ituri","Kilo",0,0.004,0,0,0
"80","Sud-Kivu","Kimbi-Lulenge",0,0,0,0,0
"81","Maniema","Kindu",0,0,0,0,0
"82","Nord-Kivu","Kirotshe",0,0,0,0,0
"83","Sud-Kivu","Kitutu",0,0,0,0,0
"84","Ituri","Komanda",81,0.011,0.001,0,0
"85","Maniema","Kunda",0,0,0,0,0
"86","Nord-Kivu","Kyondo",37,0.293,0.064,0.019,0.002
"87","Ituri","Laybo",0,0,0,0,0
"88","Sud-Kivu","Lemera",0,0,0,0,0
"89","Bas-Uele","Likati",0,0,0,0,0
"90","Ituri","Linga",0,0,0,0,0
"91","Ituri","Lita",0,0,0,0,0
"92","Ituri","Logo",0,0,0,0,0
"93","Ituri","Lolwa",6,0.162,0.026,0.006,0
"94","Tshopo","Lowa",0,0,0,0,0
"95","Nord-Kivu","Lubero",33,0.118,0.021,0.005,0
"96","Tshopo","Lubunga",0,0,0,0,0
"97","Maniema","Lubutu",0,0.004,0,0,0
"98","Sud-Kivu","Lulingu",0,0,0,0,0
"99","Maniema","Lusangi",0,0,0,0,0
"100","Nord-Kivu","Mabalako",485,1,0.994,0.987,0.933
"101","Ituri","Mahagi",0,0,0,0,0
"102","Tshopo","Makiso-Kisangani",0,0,0,0,0
"103","Haut-Uele","Makoro",0,0,0,0,0
"104","Ituri","Mambasa",83,0.836,0.555,0.368,0.145
"105","Ituri","Mandima",359,0.919,0.751,0.585,0.284
"106","Ituri","Mangala",0,0,0,0,0
"107","Tshopo","Mangobo",0,0,0,0,0
"108","Nord-Kivu","Manguredjipa",21,0.886,0.641,0.456,0.193
"109","Nord-Kivu","Masereka",63,0.13,0.02,0.008,0.002
"110","Nord-Kivu","Masisi",0,0,0,0,0
"111","Sud-Kivu","Minembwe",0,0,0,0,0
"112","Sud-Kivu","Minova",0,0,0,0,0
"113","Sud-Kivu","Miti-Murhesa",0,0,0,0,0
"114","Bas-Uele","Monga",0,0,0,0,0
"115","Ituri","Mongbalu",0,0.003,0,0,0
"116","Sud-Kivu","Mubumbano",0,0,0,0,0
"117","Sud-Kivu","Mulungu",0,0,0,0,0
"118","Nord-Kivu","Musienene",88,0.723,0.387,0.214,0.055
"119",NA,"Mutwanga",32,0.77,0.469,0.293,0.099
"120","Sud-Kivu","Mwana",0,0,0,0,0
"121","Sud-Kivu","Mwenga",6,0,0,0,0
"122","Nord-Kivu","Mweso",0,0.002,0,0,0
"123","Ituri","Nia-Nia",0,0.255,0.056,0.018,0.001
"124","Haut-Uele","Niangara",0,0,0,0,0
"125","Ituri","Nizi",0,0,0,0,0
"126","Sud-Kivu","Nundu",0,0,0,0,0
"127","Ituri","Nyakunde",2,0.006,0,0,0
"128","Sud-Kivu","Nyangezi",0,0,0,0,0
"129","Sud-Kivu","Nyantende",0,0,0,0,0
"130","Ituri","Nyarambe",0,0,0,0,0
"131","Nord-Kivu","Nyiragongo",3,0,0,0,0
"132","Maniema","Obokote",0,0,0,0,0
"133","Nord-Kivu","Oicha",73,0.23,0.036,0.011,0.001
"134","Tshopo","Opala",0,0,0,0,0
"135","Tshopo","Opienge",0,0.126,0.017,0.004,0
"136","Maniema","Pangi",0,0,0,0,0
"137","Haut-Uele","Pawa",0,0.002,0,0,0
"138","Nord-Kivu","Pinga",1,0.04,0.004,0.001,0
"139","Bas-Uele","Poko",0,0,0,0,0
"140","Maniema","Punia",0,0,0,0,0
"141","Ituri","Rethy",0,0,0,0,0
"142","Ituri","Rimba",0,0,0,0,0
"143","Haut-Uele","Rungu",0,0.002,0,0,0
"144","Nord-Kivu","Rutshuru",0,0,0,0,0
"145","Sud-Kivu","Ruzizi",0,0,0,0,0
"146","Ituri","Rwampara",8,0.001,0,0,0
"147","Nord-Kivu","Rwanguba",0,0,0,0,0
"148","Maniema","Samba",0,0,0,0,0
"149","Maniema","Saramabila",0,0,0,0,0
"150","Sud-Kivu","Shabunda",0,0,0,0,0
"151","Ituri","Tchomia",2,0,0,0,0
"152","Bas-Uele","Titule",0,0,0,0,0
"153","Tshopo","Tshopo",0,0,0,0,0
"154","Maniema","Tunda",0,0,0,0,0
"155","Tshopo","Ubundu",0,0,0,0,0
"156","Sud-Kivu","Uvira",0,0,0,0,0
"157","Bas-Uele","Viadana",0,0,0,0,0
"158","Nord-Kivu","Vuhovi",122,0.823,0.525,0.339,0.114
"159","Nord-Kivu","Walikale",0,0.001,0,0,0
"160","Sud-Kivu","Walungu",0,0,0,0,0
"161","Haut-Uele","Wamba",0,0.076,0.012,0.003,0
"162","Tshopo","Wanierukula",0,0.003,0,0,0
"163","Haut-Uele","Watsa",0,0.004,0,0,0
"164","Tshopo","Yabaondo",0,0,0,0,0
