"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"1","Haut-Uele","Aba",0,0.002,0.001,0,0
"2","Ituri","Adi",0,0.002,0,0,0
"3","Ituri","Adja",0,0.004,0.001,0.001,0
"4","Bas-Uele","Aketi",0,0,0,0,0
"5","Nord-Kivu","Alimbongo",5,0.192,0.06,0.025,0.005
"6","Maniema","Alunguli",0,0.001,0,0,0
"7","Bas-Uele","Ango",0,0,0,0,0
"8","Ituri","Angumu",0,0.008,0.001,0,0
"9","Ituri","Ariwara",1,0.004,0,0,0
"10","Ituri","Aru",0,0.006,0,0,0
"11","Ituri","Aungba",0,0.002,0.001,0,0
"12","Tshopo","Bafwagbogbo",0,0.001,0,0,0
"13","Tshopo","Bafwasende",0,0.001,0.001,0,0
"14","Sud-Kivu","Bagira",0,0.003,0,0,0
"15","Nord-Kivu","Bambo",0,0.014,0.004,0.002,0
"16","Ituri","Bambu",0,0.012,0.002,0,0
"17","Tshopo","Banalia",0,0,0,0,0
"18","Tshopo","Basali",0,0,0,0,0
"19","Tshopo","Basoko",0,0.001,0,0,0
"20","Tshopo","Bengamisa",0,0.002,0,0,0
"21",NA,"Beni",714,0.941,0.794,0.631,0.34
"22","Nord-Kivu","Biena",22,0.589,0.295,0.166,0.046
"23","Bas-Uele","Bili",0,0,0,0,0
"24","Nord-Kivu","Binza",0,0.024,0.006,0.001,0
"25","Nord-Kivu","Birambizo",0,0.032,0.008,0.002,0
"26","Ituri","Biringi",0,0.004,0,0,0
"27","Ituri","Boga",0,0.04,0.009,0.004,0
"28","Haut-Uele","Boma-Mangbetu",0,0.005,0,0,0
"29","Bas-Uele","Bondo",0,0.001,0,0,0
"30","Ituri","Bunia",7,0.03,0.006,0.002,0.001
"31","Sud-Kivu","Bunyakiri",0,0.005,0.002,0.001,0
"32","Bas-Uele","Buta",0,0,0,0,0
"33",NA,"Butembo",325,0.994,0.956,0.907,0.725
"34","Ituri","Damas",0,0.01,0.002,0,0
"35","Haut-Uele","Doruma",0,0.001,0,0,0
"36","Ituri","Drodro",0,0.013,0.005,0.002,0
"37","Haut-Uele","Dungu",0,0,0,0,0
"38","Haut-Uele","Faradje",0,0.002,0,0,0
"39","Ituri","Fataki",0,0.006,0.002,0.001,0
"40","Maniema","Ferekeni",0,0.001,0,0,0
"41","Sud-Kivu","Fizi",0,0.001,0,0,0
