"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"1","Haut-Uele","Aba",0,0.01,0.002,0.002,0
"2","Ituri","Adi",0,0.014,0.004,0.001,0
"3","Ituri","Adja",0,0.02,0.002,0,0
"4","Bas-Uele","Aketi",0,0.006,0,0,0
"5","Nord-Kivu","Alimbongo",6,0.629,0.437,0.311,0.158
"6","Maniema","Alunguli",0,0.004,0.001,0,0
"7","Bas-Uele","Ango",0,0.004,0.003,0.001,0
"8","Ituri","Angumu",0,0.03,0.006,0.002,0.001
"9","Ituri","Ariwara",1,0.019,0.004,0,0
"10","Ituri","Aru",0,0.018,0.006,0.003,0.001
"11","Ituri","Aungba",0,0.018,0.004,0.002,0
"12","Tshopo","Bafwagbogbo",0,0.012,0.002,0.001,0
"13","Tshopo","Bafwasende",0,0.014,0.003,0.002,0
"14","Sud-Kivu","Bagira",0,0.018,0.002,0.001,0
"15","Nord-Kivu","Bambo",0,0.071,0.014,0.005,0
"16","Ituri","Bambu",0,0.052,0.011,0.006,0
"17","Tshopo","Banalia",0,0.009,0.003,0.002,0.001
"18","Tshopo","Basali",0,0.002,0,0,0
"19","Tshopo","Basoko",0,0.007,0.001,0,0
"20","Tshopo","Bengamisa",0,0.008,0,0,0
"21",NA,"Beni",740,0.582,0.313,0.192,0.077
"22","Nord-Kivu","Biena",22,0.218,0.068,0.032,0.008
"23","Bas-Uele","Bili",0,0.003,0.002,0.001,0
"24","Nord-Kivu","Binza",0,0.08,0.022,0.009,0.002
"25","Nord-Kivu","Birambizo",0,0.138,0.031,0.011,0.004
"26","Ituri","Biringi",0,0.022,0.005,0.003,0
"27","Ituri","Boga",0,0.06,0.018,0.009,0.002
"28","Haut-Uele","Boma-Mangbetu",0,0.036,0.006,0.002,0.001
"29","Bas-Uele","Bondo",0,0.002,0,0,0
"30","Ituri","Bunia",7,0.112,0.03,0.013,0.003
"31","Sud-Kivu","Bunyakiri",0,0.026,0.008,0.003,0.001
"32","Bas-Uele","Buta",0,0.008,0.002,0.001,0
"33",NA,"Butembo",337,0.823,0.639,0.496,0.274
"34","Ituri","Damas",0,0.03,0.009,0.003,0.001
"35","Haut-Uele","Doruma",0,0.004,0.001,0,0
"36","Ituri","Drodro",0,0.051,0.01,0.006,0.001
"37","Haut-Uele","Dungu",0,0.01,0.002,0.002,0
"38","Haut-Uele","Faradje",0,0.012,0.005,0.002,0.001
"39","Ituri","Fataki",0,0.044,0.01,0.003,0.001
"40","Maniema","Ferekeni",0,0.004,0.001,0,0
"41","Sud-Kivu","Fizi",0,0.012,0.001,0,0
"42","Bas-Uele","Ganga Dingila",0,0.009,0.004,0.002,0.001
"43","Ituri","Gethy",0,0.098,0.027,0.012,0.002
